Barcode,species,Collector,Collector number,phyllary_length,phyllary_width,primary_axis_leaf_length,primary_axis_leaf_width,secondary_axis_leaf_length,secondary_axis_leaf_width,bract_length,bract_width,auricle_length,primary_axis_hair_length,below_capitulum_hair_length,ray_length,ray_width
67895,Symphyotrichum potosinum,Devender,98-1037,6.66,0.8,79.5,2.53,16.75,1.02,3.24,0.51,0,0,0,11.49,1.36
67895,Symphyotrichum potosinum,Devender,98-1037,6.79,0.65,64.91,2.23,10.77,1.15,4.07,0.43,0,0,0,11.43,1.28
67932,Symphyotrichum praealtum,Hinton,24009,7.06,1.45,67.99,11.59,41.62,5.15,7.1,1.03,0,0,0.12,15.28,1.5
67932,Symphyotrichum praealtum,Hinton,24009,5.78,0.8,89.44,9.84,15.84,2.38,7.13,1.22,0,0,0.21,16.48,0.77
67932,Symphyotrichum praealtum,Hinton,24009,6.58,1.07,82.27,12.76,21.43,4.44,6.78,0.67,0,0,0.19,17.15,1.3
MISSA005953,Symphyotrichum praealtum,Havran,1519,3.2,0.98,28.33,5.27,24.38,3.89,7.33,1.62,0,0.39,0.56,10.79,1.25
MISSA005953,Symphyotrichum praealtum,Havran,1519,4.65,1.05,26.74,5.05,23.34,4.08,7.41,1.79,0,0.44,0.42,10.73,1.55
MISSA005953,Symphyotrichum praealtum,Havran,1519,3.56,0.84,28.27,5.01,20.5,3.62,7.19,1.62,0,0.49,0.43,10.27,1.22
MISSA005954,Symphyotrichum praealtum,Fishbein,5466,3.66,0.88,80.88,8.55,29.36,4.53,10.89,2.69,0,0.3,0.39,10.33,1.2
MISSA005954,Symphyotrichum praealtum,Fishbein,5466,4.06,0.96,66.39,8.93,33.66,6.41,7.58,2.02,0,0.33,0.4,12.12,1.43
MISSA005954,Symphyotrichum praealtum,Fishbein,5466,3.14,0.83,71.75,8.92,28.58,5.22,4.35,1.5,0,0.4,0.5,13.67,1.52
MISSA005955,Symphyotrichum pratense,Ray,8463,9.88,4.95,23.46,6.01,14.94,4.48,14.83,3.98,0,0,0.45,26.98,3.4
MISSA005955,Symphyotrichum pratense,Ray,8463,12.54,3.23,26.23,6.52,22.38,6.42,10.42,3.64,0,0,0.36,27.64,3.94
MISSA005955,Symphyotrichum pratense,Ray,8463,11.95,5.25,24.62,5.35,16.5,5.22,11.15,3.17,0,0,0.52,25.48,3.09
MISSA005956,Symphyotrichum pratense,Fishbein,5465,12.96,6.15,24.36,6.89,16.92,5.46,8.46,4.11,0,0.34,0.53,20.4,2.51
MISSA005956,Symphyotrichum pratense,Fishbein,5465,10.13,2.62,22.45,7.43,9.66,3.97,11.64,4.18,0,0.18,0.33,14.4,1.86
MISSA005956,Symphyotrichum pratense,Fishbein,5465,8.43,4.56,20.17,7.24,7.3,3.66,7.57,3.99,0,0.08,0.3,14.73,1.61
67968,Symphyotrichum purpurescens,Patterson,5890,6.36,0.86,27.1,3.72,12.69,2.09,5.33,1.2,0,0.39,0.46,15.08,1.64
67968,Symphyotrichum purpurescens,Patterson,5890,6.15,0.91,20.65,4.18,8.72,1.82,4.38,0.82,0,0.67,0.38,16.29,1.13
67968,Symphyotrichum purpurescens,Patterson,5890,6.94,1.36,19.95,3.49,12.64,1.39,4.81,0.7,0,0.63,0.47,17,1.27
67987,Symphyotrichum purpurescens,Turner,0-53,5.91,0.89,21.03,2.38,5.83,0.89,4.71,1.07,0,0.52,0.22,13.97,1.95
67987,Symphyotrichum purpurescens,Turner,0-53,7.15,1.16,14.53,1.75,5.79,1.12,3.79,0.88,0,0.8,0.18,11.9,1.43
67897,Symphyotrichum purpurescens,Turner,0-53,7.19,1.14,15.72,2.11,8.15,1.45,4.01,0.93,0,0.52,0.15,15.17,1.98
67991,Symphyotrichum purpurescens,Turner,15283,7.05,1.48,19.92,3.7,11.25,2.33,5.49,1.21,1.27,0.38,0.25,13.87,1.12
67991,Symphyotrichum purpurescens,Turner,15283,6.24,1.37,16.21,2.99,7.95,1.27,5.39,1.49,0.78,0.54,0.28,11.9,1.79
67991,Symphyotrichum purpurescens,Turner,15283,5.12,1.28,20.53,3,12.76,2.06,4.14,1.18,0.59,0.29,0.13,13.08,1.4
67995,Symphyotrichum purpurescens,Salamón,3501,5.87,0.67,24.82,5.55,7.86,1.33,4.83,0.77,0.67,0.4,0.25,11.79,1.04
67995,Symphyotrichum purpurescens,Salamón,3501,5.66,0.89,21.66,3.74,8.95,1.54,2.98,0.73,0.84,0,0.31,12.05,1.19
67995,Symphyotrichum purpurescens,Salamón,3501,5.79,0.63,20.25,2.87,8.83,1.46,4.67,1.02,0.46,0,0.34,14.7,0.94
67970,Symphyotrichum purpurescens,Nesom,7103,7.43,1.28,15.88,4.83,10.74,3.24,2.81,0.94,1.09,0.72,0.36,17.6,3.18
67970,Symphyotrichum purpurescens,Nesom,7103,7.22,1.08,16.56,4.56,7.51,2.11,4.53,0.73,1.16,0.63,0.47,16.83,2.43
67970,Symphyotrichum purpurescens,Nesom,7103,7.73,1.21,14.48,4.49,8.17,2.36,3.67,0.79,1.09,0.52,0.22,17.63,2.05
29437,Symphyotrichum purpurescens,Panero,4114,5.41,0.82,17.44,2.41,10.16,1.92,4.27,0.69,0.59,0,0.18,11.62,1.72
29437,Symphyotrichum purpurescens,Panero,4114,4.91,0.95,17.24,2.14,7.15,0.84,4.33,0.72,0.91,0,0.21,11.37,1.38
29437,Symphyotrichum purpurescens,Panero,4114,5.6,0.63,16.41,2.33,8.86,1.19,3.19,0.75,0.6,0,0.25,11.55,1.41
67950,Symphyotrichum schaffneri,Avendaño,A-27,6.39,1.28,81.1,14.21,19.64,4.85,3.51,0.94,0,0.32,0.13,10.35,2.32
67950,Symphyotrichum schaffneri,Avendaño,A-27,6.18,0.89,75.87,14.68,14.17,2.86,5.26,0.6,0,0.46,0.21,11.13,1.24
67950,Symphyotrichum schaffneri,Avendaño,A-27,7.12,0.96,76.39,11.81,10.73,1.91,3.67,0.65,0,0.38,0.16,10.93,2.16
67945,Symphyotrichum schaffneri,Castillo,3114,6.22,1.06,22.68,5.99,5.54,1.25,2.31,0.55,0,0,0.14,10.54,1.16
67945,Symphyotrichum schaffneri,Castillo,3114,5.52,0.81,27.01,6.45,4.49,1.18,1.55,0.98,0,0,0.24,10.57,1.77
67945,Symphyotrichum schaffneri,Castillo,3114,5.45,1.25,25.75,6.55,8.64,1.68,4.56,0.81,0,0,0.19,7.98,1.08
MISSA005964,Symphyotrichum shortii,McDonald,13954,2.62,0.59,141.12,34.78,24.46,7.4,3.44,0.96,2.47,0.51,0.22,,
MISSA005964,Symphyotrichum shortii,McDonald,13954,2.14,0.38,102.71,25.43,21.97,8.67,2.89,0.75,3.34,0.58,0.42,,
MISSA005964,Symphyotrichum shortii,McDonald,13954,2.86,0.94,59.12,14.36,20.8,8.4,2.12,0.81,3.46,0.62,0.27,,
447237,Symphyotrichum subulatum,Henrickson,24150,4.49,0.45,72.38,3.64,5.24,0.68,1.88,0.51,0,0,0,0,0
447237,Symphyotrichum subulatum,Henrickson,24150,4.54,0.56,60.5,4.01,9.18,1.05,2.47,0.63,0,0,0,0,0
447237,Symphyotrichum subulatum,Henrickson,24150,4.5,0.41,31.19,3.94,3.79,1.12,1.81,0.55,0,0,0,0,0
566407,Symphyotrichum subulatum,Worthington,31403,5.16,0.63,49.01,2.48,5.32,0.86,1.91,0.43,0,0,0,0,0
566407,Symphyotrichum subulatum,Worthington,31403,5.23,0.45,67.05,3.76,11.97,0.64,2.93,0.66,0,0,0,0,0
566407,Symphyotrichum subulatum,Worthington,31403,5.79,0.57,44.13,2.02,4.33,0.75,2.55,0.46,0,0,0,0,0
382562,Symphyotrichum subulatum var. squamatum,Zardini and Velazquez,19882,7.56,0.74,38.66,2.36,8.12,1.22,2.04,0.34,0,0,0,9.84,1.46
382562,Symphyotrichum subulatum var. squamatum,Zardini and Velazquez,19882,7.19,0.78,35.31,2.07,7.71,1.25,2.48,0.44,0,0,0,7.81,1.16
382562,Symphyotrichum subulatum var. squamatum,Zardini and Velazquez,19882,7.27,0.72,17.32,2.48,7.74,0.69,1.91,0.54,0,0,0,0,0
566372,Symphyotrichum subulatum var. squamatum,Gutierrez and Roldan,138,4.75,0.79,95.2,3.51,10.54,0.86,3,0.38,0,0,0,10.91,1.39
566372,Symphyotrichum subulatum var. squamatum,Gutierrez and Roldan,138,4.27,0.69,91.66,2.21,8.85,0.67,2.52,0.43,0,0,0,8.88,1.1
566372,Symphyotrichum subulatum var. squamatum,Gutierrez and Roldan,138,3.71,0.78,77.69,2.91,15.56,1.11,4.72,0.86,0,0,0,9.07,0.82
382561,Symphyotrichum subulatum var. squamatum,Stuessy,4609,6.47,1.16,76.24,7.77,7.98,1.58,1.87,0.84,0,0,0,9.1,1.34
382561,Symphyotrichum subulatum var. squamatum,Stuessy,4609,6.12,0.8,79.61,9.03,11.57,1.07,2.24,0.59,0,0,0,0,0
382561,Symphyotrichum subulatum var. squamatum,Stuessy,4609,6.77,1.09,49.92,2.9,9.15,1.59,2.73,0.72,0,0,0,0,0
382559,Symphyotrichum subulatum var. squamatum,Nee,34032,9.15,0.76,53.76,3.36,9.56,1.2,3.02,0.5,0,0,0,0,0
382559,Symphyotrichum subulatum var. squamatum,Nee,34032,8.43,0.64,59.44,3.91,4.11,0.71,2.61,0.53,0,0,0,0,0
382599,Symphyotrichum subulatum var. squamatum,Nee,34032,8.58,0.62,49.77,3.34,3.66,0.77,3.81,0.71,0,0,0,0,0
566404,Symphyotrichum subulatum var. squamatum,Cabrera,16886,5.39,1.03,27.88,1.76,7.59,0.85,2.31,0.48,0,0,0,0,0
566404,Symphyotrichum subulatum var. squamatum,Cabrera,16886,5.18,0.9,22.95,1.35,5.68,0.93,2.84,0.56,0,0,0,0,0
566404,Symphyotrichum subulatum var. squamatum,Cabrera,16886,6.08,0.76,22.14,0.99,4.85,0.84,2.59,0.81,0,0,0,0,0
566402,Symphyotrichum subulatum var. squamatum,Luro and Bartlett,19903,7.48,0.79,45.85,3.35,6.09,0.68,1.63,0.65,0,0,0,0,0
566402,Symphyotrichum subulatum var. squamatum,Luro and Bartlett,19903,7.75,0.9,83.13,4.49,13.21,1.32,3.09,0.74,0,0,0,0,0
566402,Symphyotrichum subulatum var. squamatum,Luro and Bartlett,19903,7.59,1.11,26.67,1.93,10.02,2.11,1.82,0.69,0,0,0,0,0
MISSA005976,Symphyotrichum tenuifolium,Diener,1399,6.44,1.51,44.88,1.77,47.71,1.74,5.47,0.68,0,0,0,9.05,0.81
MISSA005977,Symphyotrichum tenuifolium,Diener,1399,6.98,1.18,24.27,2.38,31.71,1.16,5.04,0.88,0,0,0,10.42,1.7
MISSA005978,Symphyotrichum tenuifolium,Diener,1399,5.8,1.32,24.84,1.48,47.77,1.13,5.47,1.11,0,0,0,8.78,1.75
MISSA005975,Symphyotrichum tenuifolium,Diener,680,8.34,1.42,103.57,1.81,81.06,1.73,4.28,1.22,0,0,0,9.95,1.53
MISSA005976,Symphyotrichum tenuifolium,Diener,680,7.88,1.28,54.54,1.14,64.03,1.87,4.58,1.06,0,0,0,11.11,1.63
MISSA005977,Symphyotrichum tenuifolium,Diener,680,7.83,1.13,38.66,0.9,90.87,1.75,6.13,0.82,0,0,0,12.67,0.86
432656,Symphyotrichum turneri,Solis,1099,5.88,0.88,26.71,2.08,4.95,0.96,3.77,0.6,0,0,0,14.54,1.24
432656,Symphyotrichum turneri,Solis,1099,6.87,1.32,28.54,2.26,4.34,0.75,3.39,0.73,0,0,0,15.17,0.87
432656,Symphyotrichum turneri,Solis,1099,7.14,0.69,21.48,1.89,6.33,1.28,3.08,0.5,0,0,0,12.32,1.08
67878,Symphyotrichum turneri,Alvarado,178,7.33,1.04,32.71,2.73,9.13,1.74,5.06,0.74,0,0,0,17.21,1.68
67878,Symphyotrichum turneri,Alvarado,178,5.55,0.96,26.37,2.18,8.02,1.49,5.62,1.09,0,0,0,12.93,1.38
67878,Symphyotrichum turneri,Alvarado,178,5.27,1.17,25.91,2.06,9.61,1.2,3.91,0.79,0,0,0,14.72,0.89
67879,Symphyotrichum turneri,Alvarado,329,6.29,0.87,27.96,2.22,5.6,1.81,4.54,1.13,0,0,0,14.38,1.05
67879,Symphyotrichum turneri,Alvarado,329,5.61,0.99,20.16,2.11,10.88,2.03,2.82,0.58,0,0,0,11.5,0.94
67879,Symphyotrichum turneri,Alvarado,329,6.42,0.78,28.55,2.36,9.39,1.88,3.24,0.79,0,0,0,11.09,1.52
67884,Symphyotrichum turneri,Breedlove,59195,7.96,1.14,15.94,1.73,3.46,0.91,2.03,0.79,0,0,0,16.59,1.91
67884,Symphyotrichum turneri,Breedlove,59195,7.47,0.97,18.1,1.75,7.58,1.23,3.69,0.77,0,0,0,18.97,1.76
67884,Symphyotrichum turneri,Breedlove,59195,9.08,0.95,14.18,1.67,6.98,1.08,4.44,0.68,0,0,0,15.48,1.55
67883,Symphyotrichum turneri,González and Rzedowski,2750,6.92,1.15,28.29,2.22,9.82,1.25,5.05,81,0,0,0,14.41,1.49
67883,Symphyotrichum turneri,González and Rzedowski,2750,0,0,27.95,2.35,7.42,1.38,0,0,0,0,0,0,0
67883,Symphyotrichum turneri,González and Rzedowski,2750,0,0,26.39,2.3,6.21,1.06,0,0,0,0,0,0,0
67877,Symphyotrichum turneri,Ayers,521,5.76,0.89,12.94,3.65,10.48,1.21,4.39,1.04,0,0,0,10.57,1.29
67877,Symphyotrichum turneri,Ayers,521,5.37,0.61,21.84,2.77,10.64,1.45,3.84,0.77,0,0,0,9.21,1.21
67877,Symphyotrichum turneri,Ayers,521,5.32,0.83,15.17,2.66,12.05,1.24,4.44,0.87,0,0,0,0,0
MISSA030935,Symphyotrichum undulatum,Majure,3641,5.06,0.97,282.23,55.67,9.23,4.51,2.63,0.87,14.02,0,0,13.08,2.15
MISSA030936,Symphyotrichum undulatum,Majure,3641,5.08,0.92,227.09,50.93,9.53,3.69,4.27,1.48,7.29,0,0,10.77,1.9
MISSA030937,Symphyotrichum undulatum,Majure,3641,4.6,1.22,160.62,44.58,10.36,3.32,4.68,0.85,0,0,0,9.7,1.36
MISSA030952,Symphyotrichum undulatum,Majure,3623,5.45,0.95,110.31,27.18,6.03,2.44,3.3,0.91,4.19,0,0,10.76,1.75
MISSA030953,Symphyotrichum undulatum,Majure,3623,5.6,1.03,56.4,17.49,7.31,1.81,3.08,0.93,1.75,0,0,12.66,1.57
MISSA030954,Symphyotrichum undulatum,Majure,3623,4.75,0.8,48.6,16.22,7.25,2.43,3.17,1.09,1.44,0,0,10.5,2.03
382565,Symphyotrichum vahlii,Gunckel,3131,9.26,0.79,72.99,2.93,8.79,0.96,2.32,0.86,0,0,0,13.97,0.68
382565,Symphyotrichum vahlii,Gunckel,3131,7.8,0.68,114.63,3.75,11.91,1.22,5.83,0.47,0,0,0,13.18,0.31
382565,Symphyotrichum vahlii,Gunckel,3131,7.45,0.86,106.44,6.15,17.71,1.08,4.99,0.65,0,0,0,0,0
566371,Symphyotrichum vahlii,Seijo,1680,6.26,1.21,188.43,11.29,18.1,2.78,4.55,1.3,0,0,0.36,12.92,0.51
566371,Symphyotrichum vahlii,Seijo,1680,7.5,0.98,111.9,8,13.24,1.95,4.58,0.98,0,0,0.51,13.01,0.95
566371,Symphyotrichum vahlii,Seijo,1680,6.46,1.58,103.35,7.98,13.1,1.97,4.87,0.88,0,0,0.33,11.85,1.05
MISSA005979,Symphyotrichum walteri,Majure,1284,4.95,0.96,13.83,4.74,0,0,2.65,1,0,0,0,9.67,1.43
MISSA005980,Symphyotrichum walteri,Majure,1284,4.85,1,16.44,5.01,0,0,4.08,1.12,0,0,0,9.59,2.14
MISSA005981,Symphyotrichum walteri,Majure,1284,4.65,1.04,12.8,4.65,0,0,4.32,1.56,0,0,0,9.38,2.09
566370,Symphyotrichum yukonense,"Parker, Elven, Solstad",14992,10.04,1.1,46.88,4.22,16.36,2.48,3.55,0.71,0,0.38,1.14,16.01,2.05
566370,Symphyotrichum yukonense,"Parker, Elven, Solstad",14992,8.69,0.99,43.64,4.93,13.77,2.73,7.37,0.94,0,0.56,1.49,16.08,1.99
566370,Symphyotrichum yukonense,"Parker, Elven, Solstad",14992,7.98,1.02,56.57,3.43,13.07,1.26,7.8,0.98,0,0.63,0.86,17.99,1.7
455753,Symphyotrichum expansum_2,Reina,2009-1012,3.87,0.97,104.27,15.57,12.74,1.27,1.92,0.6,0,0,0,6.16,0.74
455753,Symphyotrichum expansum_2,Reina,2009-1012,5.83,0.89,110.2,8.15,6.76,1,2.6,0.77,0,0,0,8.39,0.82
455753,Symphyotrichum expansum_2,Reina,2009-1012,6.27,1.27,121,10.47,8.08,1.05,3.37,0.88,0,0,0,0,0
462583,Symphyotrichum expansum_2,Pascual,1741,5.22,0.8,140.94,12.75,23.98,1.68,4.24,0.82,0,0,0,0,0
462583,Symphyotrichum expansum_2,Pascual,1741,5.31,0.83,122.28,7.8,22.79,1.8,7.39,0.99,0,0,0,0,0
462583,Symphyotrichum expansum_2,Pascual,1741,4.82,0.94,136.79,15.8,21.33,1.74,5.37,0.84,0,0,0,0,0
461314,Symphyotrichum expansum_2,Vasquez,105,5.38,0.93,61.86,3.19,10.23,1.58,3.64,0.78,0,0,0,6.57,0.52
461314,Symphyotrichum expansum_2,Vasquez,105,4.3,1.14,56.55,2.69,8.43,1.21,3.07,0.7,0,0,0,6.07,0.64
461314,Symphyotrichum expansum_2,Vasquez,105,5.46,0.98,43.76,2.25,8.4,1.58,2.72,0.81,0,0,0,6.71,0.81
MISSA005841,Symphyotrichum amethystinum,Ahles,6804,3.76,1.19,31.35,5.05,8.03,2.49,5.44,2.22,0,0.56,0.37,6.75,0.69
MISSA005841,Symphyotrichum amethystinum,Ahles,6804,3.66,1,39.02,6.4,7.76,2.59,2.9,1.68,0,0.64,0.35,5.83,0.72
MISSA005841,Symphyotrichum amethystinum,Ahles,6804,2.95,0.97,49.63,6.41,9,2.68,4.29,2.06,0,0.78,0.38,6.17,0.44
MISSA005840,Symphyotrichum amethystinum,Ahles,6818,5.14,1.52,35.61,6.38,14.41,3.26,3.38,1.31,0,0.88,0.35,6.12,1
MISSA005840,Symphyotrichum amethystinum,Ahles,6818,4.31,1.26,29.97,5.1,15.06,3.4,3.78,1.09,0,1.08,0.48,8.1,0.8
MISSA005840,Symphyotrichum amethystinum,Ahles,6818,4.86,1.61,26.36,5.83,10.71,2.97,3.54,1.23,0,1.14,0.4,7.96,0.97
MISSA030122,Symphyotrichum fendleri,Jones,n/a,4.47,1.34,19.2,3.53,14.81,2.21,4.29,1.29,0,0.86,0.38,12.07,2.06
MISSA030122,Symphyotrichum fendleri,Jones,n/a,3.51,1.26,22.96,3.61,13.98,2.14,2.92,1.14,0,0.96,0.86,8.39,1.69
MISSA030122,Symphyotrichum fendleri,Jones,n/a,3.43,1.26,25.78,2.23,15.82,2.55,3.6,1.64,0,1.02,0.4,13.09,1.57
MISSA005973,Symphyotrichum sericeum,Sandberg,938,3.02,1.77,17.46,5.42,13.96,4.68,9.89,4.81,0,0.46,0.22,12.9,1.13
MISSA005973,Symphyotrichum sericeum,Sandberg,938,3.79,2.28,14.94,4.54,11,3.97,8.4,4.18,0,0.72,0.25,10.41,0.88
MISSA005973,Symphyotrichum sericeum,Sandberg,938,4,2.38,17.87,5.85,14.02,5.01,8.27,4.14,0,0.65,0.31,11.54,1.16
MISSA042388,Symphyotrichum fendleri,Semple and Brouillet,7336,3.74,1.3,33.27,2.07,5.24,1.41,3.42,1.43,0,0.53,0.55,7.85,2.44
MISSA042388,Symphyotrichum fendleri,Semple and Brouillet,7336,3.24,1.13,26.61,2.02,5.4,1.46,3.08,1.05,0,0.58,0.67,6.68,1.21
MISSA042388,Symphyotrichum fendleri,Semple and Brouillet,7336,3.98,1.48,27.87,1.92,6.26,1.75,3.28,1.42,0,0.82,0.56,8.65,1.3
MISSA042279,Symphyotrichum campestre,Semple and Semple,11362,5.17,1.25,44.03,5,10.41,2.83,3.3,1.39,0,0,0,14,4
MISSA042279,Symphyotrichum campestre,Semple and Semple,11362,4.81,1.35,47.83,7.25,5.92,1.74,4.27,1.17,0,0,0,11,2.9
MISSA042279,Symphyotrichum campestre,Semple and Semple,11362,5.17,1.21,39.1,6.69,8.33,2.33,3.32,0.86,0,0,0,13,3
MISSA042263,Symphyotrichum walteri,Semple and Chmielewski,6062,2.8,1.14,10.13,4.6,4.67,2.5,1.73,0.79,0,0.27,0.1,9.82,1.55
MISSA042263,Symphyotrichum walteri,Semple and Chmielewski,6062,3.32,1.1,7.98,3.1,4.05,1.31,1.61,0.85,0,0.35,0.13,10.3,1.53
MISSA042263,Symphyotrichum walteri,Semple and Chmielewski,6062,4.09,0.9,6.89,2.68,4.02,2.02,1.48,0.61,0,0.31,0.08,9.73,1.62
MISSA042451,Symphyotrichum phlogifolium,Semple,10856,5.43,1.14,34.92,12.38,5.56,2.06,3.31,0.65,1.93,0,0.09,12.25,1.75
MISSA042451,Symphyotrichum phlogifolium,Semple,10856,5.37,1.43,34.31,15.38,3.24,1.59,3.08,0.91,2.56,0,0.12,12.4,2.09
MISSA042451,Symphyotrichum phlogifolium,Semple,10856,6.67,1.2,30.63,14.13,4.36,2.19,2.91,0.97,2.98,0,0.11,20.93,2.04
MISSA042278,Symphyotrichum georgianum,Semple,11674,5.34,1.33,23.63,8.79,8.46,2.62,2.72,1.08,2.45,0,0.11,16.06,2.83
MISSA042278,Symphyotrichum georgianum,Semple,11674,5.18,1.61,24.83,7.38,7.73,2.76,3.13,0.95,3.73,0,0.16,18.35,1.87
MISSA042278,Symphyotrichum georgianum,Semple,11674,7.41,150,21.86,7.68,5.99,2.1,2.95,1.13,2.54,0,0.22,17.43,2.04
