,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,nitrogen,clay,nitrogen.y,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous,aridity,biogeo,soil
16,Symphyotrichum_hintonii,112.667,47,47,608.667,171.667,59.6667,112,112,114.667,121.333,105.333,1036.33,227.333,6,68.6667,640.333,24.3333,135,33.6667,1550.67,124,4.66667,784,251,27.6667,251,29.6667,38,22,17.3333,15.6667,11.3333,1,0,35.6667,0,11,0.720067,1000,Cambisols
17,Symphyotrichum_moranense,154.616,67.3151,67.3151,1837.43,261.555,42.1849,219.37,165.616,139.192,175.795,128.904,952.849,195.76,9.34932,89,534.979,36.1644,274.37,47.863,2266.59,183.932,4.80137,1212.47,215.069,42.8425,215.069,17.5342,61.7397,30.589,25.9589,18.137,12.0548,2.08219,2.43836,39.6438,8.87671,9.29452,0.61431,1000,Acrisols
18,Symphyotrichum_novae-angliae,83.8559,28.0925,28.0925,9644.7,277.064,-107.231,384.295,167.267,-25.2461,203.55,-45.3933,935.176,100.676,52.5233,20.2951,284.965,175.383,271.824,186.157,224.306,174.163,0.617573,1389.43,251.624,19.5467,251.624,56.1455,60.3661,40.0557,40.4727,5.03842,4.35953,0.228549,15.9725,10.0364,0.299608,6.47027,1.03893,100000,Luvisols
19,Symphyotrichum_oblongifolium,113.816,32.1711,32.1711,9518.08,314.06,-89.3283,403.388,198.29,-4.86439,232.75,-13.7212,830.148,110.785,32.3435,39.782,298.165,112.712,269.212,115.871,442.285,175.028,0.936629,1491.07,144.161,24.5616,144.161,32.4676,64.0597,29.2973,46.1398,5.5972,3.98733,0.115336,12.564,9.1749,1.21293,28.9303,0.734767,111000,Luvisols
20,Symphyotrichum_patens,139.226,34.9394,34.9394,8128.1,313.585,-39.1498,352.735,166.472,96.947,240.79,30.5993,1187.25,129.404,69.1002,18.0084,353.104,235.568,301.546,269.012,186.66,172.875,0.89966,1479.04,121.597,19.0874,121.597,35.3924,54.5345,37.6916,43.1983,6.62605,11.063,0.648739,29.2504,21.3571,0.316807,6.57479,1.0047,100000,Luvisols
21,Symphyotrichum_phlogifolium,104.675,33.0081,33.0081,8451.6,284.195,-70.8699,355.065,187.008,2.93496,210.423,-8.23577,1090.61,111.659,71.1301,13.2195,316.805,230.911,307.52,233.317,323.496,176.943,1.71545,1403.33,146.069,20.374,146.069,38.2276,53.7317,33.5447,45.4309,11.561,4.84553,0.0650407,47.8537,9.8374,0.0894309,2.10569,1.03467,100000,Leptosols
22,Symphyotrichum_potosinum,155.303,57.9091,57.9091,3591.36,287.727,21.7879,265.939,192.03,149.727,199.364,108.455,716.515,169.848,6.15152,88.9091,424.394,29.8485,314.576,70.8788,1845.88,147.939,3.39394,1291.82,150.793,42.3636,150.793,13.8182,63.5758,29.5758,25.1212,20.0303,14.7273,3.15152,0.636364,33.5152,11.2727,13.0909,0.484725,1000,Luvisols
23,Symphyotrichum_praealtum,127.76,32.2352,32.2352,8967.14,313.825,-64.2124,378.038,199.141,23.2959,239.077,7.22307,998.256,123.806,43.6813,32.0713,333.202,152.2,300.452,163.876,289.429,171.543,0.491629,1508.46,165.62,23.7313,165.62,37.844,60.9115,29.8855,46.3221,4.31651,4.6085,0.503794,9.86495,11.0046,0.637329,20.4552,0.884314,101000,Cambisols
24,Symphyotrichum_pratense,186.864,38.168,38.168,6949.62,341.472,21.168,320.304,210.36,166.496,272.272,93.088,1101.5,134.48,61.096,24.52,341.568,210.976,258.936,253.472,103.144,168.333,0.376,1591.68,87.5565,23.216,87.5565,27.784,59.144,42.968,33.048,2.432,14.832,1.176,7.992,24.92,1.144,18.424,0.788123,100000,Cambisols
25,Symphyotrichum_sericeum,89.1037,28.1902,28.1902,10682.1,299.686,-132.536,432.222,203.251,-51.9222,220.3,-56.5159,793.536,109.334,23.9078,44.9481,303.951,85.879,289.671,86.2767,326.997,180.922,0.564841,1456.12,198.409,21.7032,198.409,47.1182,63.0576,35.7695,42.3285,3.77233,3.57061,0.14121,9.22478,10.1182,0.345821,21.7061,0.780083,100100,Cambisols
26,Symphyotrichum_squamatum,144.333,47,47,879.667,195.667,90.6667,105,151.667,139,152.333,130.667,610.667,90.6667,17.3333,31.3333,240.667,65.6667,225.667,85.3333,524.667,87,1.66667,918,83,17,83,13.6667,40.3333,39.6667,10,2.66667,0,0,0,18,11,8.66667,0.398951,10,Luvisols
27,Symphyotrichum_subulatum,168.846,41.2165,41.2165,6474.13,316.844,12.5413,304.303,220.679,124.009,248.547,82.5706,967.312,133.91,44.9046,42.0826,356.552,153.741,318.097,172.662,401.077,161.27,0.659274,1441.84,305.382,22.951,305.382,58.441,63.5318,45.3412,31.6298,6.09256,8.24412,4.16456,3.63472,13.2948,7.42676,15.3906,0.778282,100000,Kastanozems
28,Symphyotrichum_tenuifolium,149.699,34.4205,34.4205,7125.98,298.29,-3.40909,301.699,192.426,136.54,238.852,56.1023,1224.62,142.193,72.4659,20.5739,389.608,244.335,367.182,272.261,8.63636,165.212,0.134921,1365.48,463.635,14.3243,463.635,101.059,54.2432,51.9081,33.3405,4.10753,11.8984,9.21925,7.4385,14.1444,1.08021,2.5615,1.10772,100100,Cambisols
29,Symphyotrichum_turneri,70,29.5,29.5,1671.5,129.5,6,123.5,84.5,61.5,89,47,250.5,65,1,51.5,164.5,5.5,94,17.5,1208,56.5,1,645,81.5,21.5,81.5,0,29.5,13.5,15.5,10.5,24.5,0,4,17,1.5,3.5,0.241139,1000,Cambisols
30,Symphyotrichum_vahlii,66.95,47.85,47.85,2881.15,157.7,-2.15,159.85,59.55,86.45,103.75,30.4,1158.05,168.45,47.3,37.05,479.75,156.35,179.3,440.6,463,182.8,2.8125,906.143,435.083,18.9048,435.083,116.571,55.3333,47.0952,29.381,15.8571,2.66667,12.6667,2.95238,12.9048,11.5714,19.8571,1.65448,10,Luvisols
31,Symphyotrichum_walteri,187.369,41.7377,41.7377,6023.19,321.68,37.1967,284.484,260.492,145,261.008,106.705,1259.98,170.77,61.4098,33.6393,472.836,212.057,469.164,252.82,28.8033,167.965,0.0583333,1471.57,496.343,11.5738,496.343,66.8279,50.4836,66.1639,21.4426,1.42623,26.5164,4.36885,5.65574,31.7623,0.385246,4.31148,0.924884,100000,Cambisols
32,Symphyotrichum_yukonense,-42.375,23,23,11275.4,166.875,-251.875,418.75,95.3125,-107.562,97.5625,-189.625,369.562,60.875,14.6875,43.8125,156.312,49.8125,154.25,61.4375,716.75,169.438,3.5,934.125,290.182,13.5625,290.182,98.4375,56.5,42.625,37.5625,12.9375,4,0,0,13.0625,20,3.875,0.787638,10000,Luvisols
