species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,claypercent,nitrogen,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous
Symphyotrichum_retroflexum,115.978,128.602,39.1613,7051.75,272.645,-48.3333,320.978,102.656,98.043,204.151,22.0538,1517.91,153.806,104.806,10.1505,418.634,336.452,389.903,374.204,810.849,189.065,3.67742,1258.24,20.2473,186.043,46.0215,50.1613,43.7849,35.0323,12.7419,13.5054,0,20.6344,59.4086,0,0.763441
Symphyotrichum_rhiannon,95.2857,113.429,34.7143,5993.43,228.714,-47.1429,275.857,27,126.857,169.857,15.1429,1524.43,158.714,100.143,9.42857,431.429,333.429,369.286,408.286,822.429,195.571,3.42857,1037.86,17.1429,182.857,49.2857,42.7143,38.2857,30.5714,9.14286,8,0,17.7143,54.4286,0,0
Symphyotrichum_robynsianum,2.98039,109.647,23.3137,11748.4,220.863,-233.529,454.392,136.118,-119.412,144.294,-156.784,687.765,89.6471,27.7451,35.9804,249.863,98.1569,240.647,107.608,143.843,177.051,0.0444444,1013.08,18.5882,533.244,210.255,51.8039,49.5882,29.8431,5.82353,20.7692,0,2.65385,31.6154,5.11538,2.48077
Symphyotrichum_schaffneri,175.486,100.914,58.1714,2053.77,257.514,90.5143,167,189.4,155.229,197.486,146.314,1799.14,341.771,50.3714,67.7143,854.429,159.057,478.543,171.286,1350.03,154.286,4.54286,1153.6,37.9429,205.5,38.9714,54.0286,33.2857,26.0857,13.8,0.657143,33.5429,3.25714,19.4,0.571429,2.54286
Symphyotrichum_schistosum,63,64,18.5,3922,149.5,-22,171.5,103.5,11,112.5,11,524,51.5,36,5.5,144.5,112.5,143,112.5,198,167,3,706,11,63.5,12.5,27,18,21,8,1.5,0,31.5,16.5,0,0
Symphyotrichum_sericeum,89.1037,123.496,28.1902,10682.1,299.686,-132.536,432.222,203.251,-51.9222,220.3,-56.5159,793.536,109.334,23.9078,44.9481,303.951,85.879,289.671,86.2767,326.997,180.922,0.564841,1456.12,21.7032,198.409,47.1182,63.0576,35.7695,42.3285,3.77233,3.57061,0.14121,9.22478,10.1182,0.345821,21.7061
Symphyotrichum_shortii,105.739,116.804,30.6526,9235.05,292.926,-83.3958,376.322,189.8,13.9347,220.042,-18.8421,1014.01,110.267,53.1305,22.2632,316.046,183.356,297.878,196.017,236.806,174.593,0.863158,1458.78,22.5223,184.122,41.8917,58.8896,28.3546,49.051,5.69002,3.68632,0.185263,29.8084,8.66737,0.225263,4.83158
Symphyotrichum_simmondsii,217.135,111.802,47.7708,4352.42,323.073,92.2812,230.792,268.021,172.75,268.781,158.115,1320.31,198.708,51.1875,46.5312,539.823,179.083,524.896,200.688,8.71875,174.639,0.0208333,1357.03,8.34375,1106.9,121.031,56.7396,63.6875,26.9792,2.36458,14.8438,9.05208,6.02083,20.4167,1.04167,6.3125
Symphyotrichum_spathulatum,49.1989,144.966,41.6698,6928.48,245.493,-100.409,345.902,11.1689,99.3583,140.795,-34.4934,698.514,107.462,18.0694,45.8987,298.285,70.1557,91.3189,271.713,1935.68,178.094,4.12195,1206.23,15.8377,175.871,44.8396,62.0679,50.134,33.9283,20.5453,47.4146,0.11257,0.72045,12.1257,11.1295,17.3283
Symphyotrichum_squamatum,144.333,75,47,879.667,195.667,90.6667,105,151.667,139,152.333,130.667,610.667,90.6667,17.3333,31.3333,240.667,65.6667,225.667,85.3333,524.667,87,1.66667,918,17,83,13.6667,40.3333,39.6667,10,2.66667,0,0,0,18,11,8.66667
Symphyotrichum_subspicatum,77.3581,104.389,39.6856,5556.53,225.214,-39.2751,264.489,47.0262,120.751,149.428,8.70306,1241.91,195.795,34.0131,53.6725,539.279,125.323,154.332,468.668,544.153,179.259,3.72816,1117.82,16.2017,269.529,79.9706,56.2857,45.7437,37.7059,15.2689,39.4083,0.225,1.50417,17.2917,3.41667,5.68333
Symphyotrichum_subtropicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphyotrichum_subulatum,168.846,122.475,41.2165,6474.13,316.844,12.5413,304.303,220.679,124.009,248.547,82.5706,967.312,133.91,44.9046,42.0826,356.552,153.741,318.097,172.662,401.077,161.27,0.659274,1441.84,22.951,305.382,58.441,63.5318,45.3412,31.6298,6.09256,8.24412,4.16456,3.63472,13.2948,7.42676,15.3906
Symphyotrichum_tardiflorum,58.8333,91.5,22.8333,8256.67,223,-105.667,328.667,119.833,-33.8333,161.5,-52.1667,832.667,82.8333,53.6667,10.5,233.333,173.333,226.667,187.667,102,120.833,1.66667,1045.83,15.8333,157,49.5,49.3333,35.6667,31.8333,6.66667,7.16667,0,16.1667,22.8333,0,1.16667
Symphyotrichum_tenuifolium,149.699,103.119,34.4205,7125.98,298.29,-3.40909,301.699,192.426,136.54,238.852,56.1023,1224.62,142.193,72.4659,20.5739,389.608,244.335,367.182,272.261,8.63636,165.212,0.134921,1365.48,14.3243,463.635,101.059,54.2432,51.9081,33.3405,4.10753,11.8984,9.21925,7.4385,14.1444,1.08021,2.5615
Symphyotrichum_tradescanti,64.6567,104.672,26.5373,9518.88,255.224,-126.239,381.463,125.821,-11.0597,183.224,-62.8657,1059.85,110.239,68.2388,14.6866,312.418,217.418,288.896,245.731,107.507,186.484,1.06349,1202.85,13,218.239,68.2576,52.8636,49.8485,35.6667,9.13636,5.64179,0.179104,20.6866,25.5672,0.537313,1.77612
Symphyotrichum_trilineatum,163.24,135.52,64.84,1944.52,259.28,57.68,201.6,176.76,140.48,184.56,135.56,933.28,182.2,13.2,77.2,472.48,47.36,321.44,52.4,1787.84,170.32,5.76,1193.92,38.64,173.19,25.16,61.64,32.56,24.84,16.6,11.32,13.92,2,35.48,1.36,9.52
Symphyotrichum_turbinellum,129.353,125.833,32.25,8966.01,316.699,-64.9038,381.603,173.333,36.4744,240.481,7.91026,1075.69,121.481,52.2628,22.9487,337.224,188.359,287.609,191.872,241.077,185.39,0.858974,1485.81,20.6923,112.46,23,56.9295,20.4551,58.2628,7.23077,2.37821,0.0512821,41.0962,10.4231,0.262821,5.55769
Symphyotrichum_turneri,70,74,29.5,1671.5,129.5,6,123.5,84.5,61.5,89,47,250.5,65,1,51.5,164.5,5.5,94,17.5,1208,56.5,1,645,21.5,81.5,0,29.5,13.5,15.5,10.5,24.5,0,4,17,1.5,3.5
Symphyotrichum_urophyllum,84.7584,112.682,28.9186,9550.81,278.354,-105.864,384.218,162.221,-26.6951,203,-43.4005,937.891,102.344,50.4974,21.3204,289.411,171.961,275.345,183.079,260.756,176.974,0.689922,1392.13,18.4734,211.809,50.9468,59.083,40.6031,40.8651,5.75227,3.9509,0.133075,25.0814,11.4935,0.133075,5.40052
Symphyotrichum_vahlii,66.95,82.15,47.85,2881.15,157.7,-2.15,159.85,59.55,86.45,103.75,30.4,1158.05,168.45,47.3,37.05,479.75,156.35,179.3,440.6,463,182.8,2.8125,906.143,18.9048,435.083,116.571,55.3333,47.0952,29.381,15.8571,2.66667,12.6667,2.95238,12.9048,11.5714,19.8571
Symphyotrichum_walteri,187.369,120.131,41.7377,6023.19,321.68,37.1967,284.484,260.492,145,261.008,106.705,1259.98,170.77,61.4098,33.6393,472.836,212.057,469.164,252.82,28.8033,167.965,0.0583333,1471.57,11.5738,496.343,66.8279,50.4836,66.1639,21.4426,1.42623,26.5164,4.36885,5.65574,31.7623,0.385246,4.31148
Symphyotrichum_welshii,68.2143,155.929,38.7143,7371.57,268.214,-101.357,369.571,110.643,92.9286,165.286,-23.5,337.786,41.5,14.3571,23.5714,105.786,62.4286,87.2857,83.9286,1910.07,181.214,3.5,1294.79,17.7143,109.5,25.6429,66.7143,44.2143,30.9286,19.8571,27.1429,2.14286,0,16.7143,30.9286,11.7143
Symphyotrichum_yukonense,-42.375,104,23,11275.4,166.875,-251.875,418.75,95.3125,-107.562,97.5625,-189.625,369.562,60.875,14.6875,43.8125,156.312,49.8125,154.25,61.4375,716.75,169.438,3.5,934.125,13.5625,290.182,98.4375,56.5,42.625,37.5625,12.9375,4,0,0,13.0625,20,3.875
