species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,claypercent,nitrogen,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous
Symphyotrichum_concolor,177.262,123.348,41.3907,6418.73,319.982,22.4695,297.513,202.545,155.065,256.419,91.7527,1333.86,162.434,69.2796,25.9319,445.19,242.032,418.505,308.244,86.2186,179.446,0.287273,1489.75,13.8821,311.254,46.8893,52.075,58.1286,27.6429,3.025,22.1286,2.82857,9.75,31.7643,0.367857,4.16071
Symphyotrichum_cordifolium,83.8631,113.289,29.5028,9377.2,274.383,-106.127,380.51,159.108,-14.862,200.386,-42.0169,1041.87,107.771,64.945,15.2858,304.464,212.125,291.367,225.484,239.074,179.764,1.26881,1331.34,17.3611,217.884,59.4419,55.8587,42.176,40.524,8.22995,5.13577,0.162856,31.783,16.8565,0.17974,3.07492
Symphyotrichum_defoliatum,141.333,145.444,46.75,5605.69,309.972,9.25,300.722,92.7222,194.806,217.472,76.5,466.139,85.7222,2.08333,74.1667,243.167,21.25,36.4167,227.25,985.806,189.857,3.48571,1423.44,22.9444,96.7931,23.1667,67.9167,48.8056,25.6667,11.6667,23,0,5.16667,15.0833,26.4722,3.36111
Symphyotrichum_depauperatum,116.8,110.911,31.1333,8356.13,290.333,-53.4889,343.822,206.933,20.2,222,5.97778,1098.93,108.911,71.6889,11.3778,311.2,238.844,308.089,243.267,104.467,193.089,0.577778,1419.2,17.2667,113.233,30.0444,53.1111,37.0222,43.7556,6.11111,4.46667,0,28.5556,14.3111,0.244444,5.26667
Symphyotrichum_divaricatum,186.564,123.112,36.8016,7320.86,346.277,15.4993,330.777,230.517,119.812,277.171,88.4656,956.806,127.229,49.1323,30.5115,315.457,171.625,232.144,188.927,194.807,160.633,0.289041,1605.56,28.5209,118.12,32.3603,66.9001,35.9717,35.5371,3.60864,5.40296,0.71159,1.66038,12.4784,2.54717,32.1604
Symphyotrichum_drummondii,142.262,123.245,32.585,8847.94,326.088,-50.1754,376.263,211.818,36.9198,251.809,22.9647,938.965,122.646,38.6952,34.4214,323.447,138.988,272.624,144.202,251.49,163.385,0.527273,1542.2,26.3248,154.922,31.9132,63.7878,28.1243,45.537,4.46302,5.8109,0.225427,7.7094,12.3451,0.489316,22.125
Symphyotrichum_eatonii,57.8769,148.369,39.7692,7560.07,265.612,-103.938,369.55,27.4846,94.4692,156.762,-36.1231,564.104,82.5654,18.6808,38.9231,226.131,68.8346,95.25,195.385,1619.66,176.815,4.19231,1245.47,17.1907,174.804,40.2335,64.9339,45.2879,37.2296,18.2218,36.2615,0.0192308,1.7,11.2038,11.6038,20.2769
Symphyotrichum_elliottii,205.434,116.779,45.0246,5136.76,323.828,67.6148,256.213,266.238,165.057,266.91,136.148,1306.1,189.492,56.3443,41.9754,528.77,195.221,521.918,235.68,13.6639,146.553,0.00833333,1406.72,9.7377,886.81,108.746,53.1066,68.2869,21.1885,1.17213,20.5164,8.7377,7.04098,23.7869,0.663934,5.47541
Symphyotrichum_ericoides,101.883,125.856,31.3032,9546.03,301.218,-98.6455,399.864,186.181,-9.1141,220.887,-25.4459,746.6,99.2292,32.5666,38.0645,264.539,111.879,234.981,116.949,474.838,166.114,0.618998,1454.53,23.4022,175.001,41.178,66.2262,38.2206,38.4358,4.57727,5.07601,0.255579,4.84031,9.82671,2.50558,25.9634
Symphyotrichum_eulae,160.857,104.286,30.8571,6315.86,298.714,13.2857,285.429,196.857,90.4286,239.143,76.1429,771.857,110.429,38.7143,27.1429,263.429,136.286,180.857,139.571,171.857,152.571,0.571429,1355.86,25.1429,108.857,31.2857,58.1429,31.1429,29.5714,5,9.28571,4.57143,1.28571,12.2857,1.28571,39
Symphyotrichum_expansum,184.476,145.707,60.1289,3356.53,306.636,59.0578,247.578,208.991,173.093,224.773,139.636,855.204,175.516,12.92,81.0089,449.373,48.8089,277.982,89.2444,1312.89,167.379,3.68,1332.4,39.9378,171.2,21.7067,66.92,33.6,26.1644,17.6756,10.2756,9.46222,3.05333,24.6089,18.5956,8.37778
Symphyotrichum_falcatum,76.2529,151.224,36.4778,9112.46,290.854,-123.094,413.947,165.898,-9.8548,193.211,-41.2354,444.249,74.329,12.959,53.3817,193.153,46.8466,170.536,59.5609,1314.55,160.276,1.45785,1424.36,24.5358,134.728,29.6377,71.4209,39.4701,35.9308,7.59906,13.8806,0.131148,0.416862,11.1101,8.79157,32.1429
Symphyotrichum_fendleri,116.462,154.547,36.6509,9051.61,325.83,-87.3774,413.208,208.67,-0.0849057,233.387,-0.320755,519.547,84.1509,11.6226,55.6415,226.34,41.9434,207.717,41.9623,979.038,158.292,0.820755,1486.17,24.2358,108.951,21.0755,73.1038,37.0943,37.9057,4.49057,2.74528,0,0,8.72642,7.41509,51.3962
Symphyotrichum_firmum,67.6127,106.676,26.6127,9985.12,265.965,-126.085,392.049,168.711,-56.0423,190.866,-66.1197,831,94.2676,42.1831,24.8732,264.613,143.732,255.965,152.845,269.514,158.103,0.394366,1346.81,16.9571,350.463,66.1071,60.9857,48.0714,34.4,4.06429,2.8662,0.338028,14.4437,12.8028,0.133803,6.8169
Symphyotrichum_foliaceum,28.3329,145.341,39.5206,7447.01,230.289,-132.388,362.677,17.0982,61.0768,125.903,-63.2248,685.266,92.0583,27.9018,31.7141,252.989,101.276,138.536,214.617,2200.12,172.706,4.72688,1167.31,15.5627,182.432,49.953,58.9829,47.0798,37.2493,20.7977,51.3272,0.0810811,0.793741,12.8222,5.39829,17.623
